date,away_score,home_score,actual_score,over_under,score_diff
2015-09-03,15,14,29,47.0,18
2015-09-03,17,13,30,62.0,32
2015-09-03,24,13,37,58.0,21
2015-09-03,36,48,84,64.5,-19.5
2015-09-03,3,41,44,40.5,-3.5
2015-09-03,6,69,75,65.0,-10
2015-09-03,15,20,35,51.0,16
2015-09-03,14,12,26,60.0,34
2015-09-03,17,24,41,44.5,3.5
2015-09-03,9,12,21,47.0,26
2015-09-03,45,28,73,57.5,-15.5
2015-09-03,23,17,40,60.0,20
2015-09-03,37,7,44,52.5,8.5
2015-09-03,13,34,47,58.0,11
2015-09-03,32,42,74,58.5,-15.5
2015-09-03,17,31,48,59.5,11.5
2015-09-03,13,43,56,53.0,-3
2015-09-03,20,28,48,62.5,14.5
2015-09-04,23,20,43,68.0,25
2015-09-04,37,24,61,55.5,-5.5
2015-09-04,56,21,77,71.0,-6
2015-09-04,0,47,47,43.5,-3.5
2015-09-04,37,35,72,63.0,-9
2015-09-04,7,26,33,53.0,20
2015-09-04,13,16,29,55.5,26.5
2015-09-05,14,51,65,54.0,-11
2015-09-05,6,16,22,47.5,25.5
2015-09-05,3,52,55,53.0,-2
2015-09-05,13,48,61,49.5,-11.5
2015-09-05,24,31,55,58.0,3
2015-09-05,16,34,50,52.5,2.5
2015-09-05,33,28,61,59.5,-1.5
2015-09-05,38,34,72,61.0,-11
2015-09-05,10,27,37,44.0,7
2015-09-05,44,47,91,67.0,-24
2015-09-05,30,59,89,69.5,-19.5
2015-09-05,21,49,70,63.0,-7
2015-09-05,3,41,44,57.5,13.5
2015-09-05,17,38,55,70.0,15
2015-09-05,33,40,73,58.0,-15
2015-09-05,3,38,41,48.5,7.5
2015-09-05,0,44,44,56.0,12
2015-09-05,13,61,74,54.5,-19.5
2015-09-05,30,38,68,62.0,-6
2015-09-05,17,35,52,48.5,-3.5
2015-09-05,16,59,75,63.0,-12
2015-09-05,34,16,50,61.5,11.5
2015-09-05,6,55,61,69.5,8.5
2015-09-06,31,41,72,61.5,-10.5
2015-09-07,42,24,66,52.5,-13.5
2015-09-10,38,41,79,62.5,-16.5
2015-09-11,44,20,64,56.0,-8
2015-09-11,14,24,38,44.5,6.5
2015-09-12,14,34,48,54.5,6.5
2015-09-12,7,35,42,45.0,3
2015-09-12,17,22,39,47.0,8
2015-09-12,30,3,33,52.0,19
2015-09-12,48,27,75,72.0,-3
2015-09-12,34,31,65,54.0,-11
2015-09-12,14,27,41,48.5,7.5
2015-09-12,0,58,58,52.0,-6
2015-09-12,17,30,47,40.5,-6.5
2015-09-12,10,41,51,58.5,7.5
2015-09-12,14,48,62,62.5,0.5
2015-09-12,20,69,89,65.5,-23.5
2015-09-12,0,38,38,65.0,27
2015-09-12,23,20,43,54.5,11.5
2015-09-12,37,34,71,62.5,-8.5
2015-09-12,10,65,75,54.5,-20.5
2015-09-12,34,27,61,47.5,-13.5
2015-09-12,31,14,45,50.0,5
2015-09-12,21,73,94,55.0,-39
2015-09-12,10,37,47,56.5,9.5
2015-09-12,16,12,28,55.5,27.5
2015-09-12,48,29,77,53.0,-24
2015-09-12,31,17,48,50.0,2
2015-09-12,7,35,42,60.5,18.5
2015-09-12,31,24,55,63.0,8
2015-09-12,24,7,31,50.0,19
2015-09-12,17,43,60,56.0,-4
2015-09-12,10,21,31,60.0,29
2015-09-12,13,31,44,60.0,16
2015-09-12,44,20,64,63.0,-1
2015-09-12,23,56,79,63.5,-15.5
2015-09-12,27,20,47,55.5,8.5
2015-09-12,24,31,55,53.0,-2
2015-09-12,55,23,78,63.0,-15
2015-09-12,26,22,48,56.0,8
2015-09-12,9,59,68,66.5,-1.5
2015-09-12,28,31,59,67.0,8
2015-09-12,9,48,57,54.0,-3
2015-09-12,28,42,70,48.5,-21.5
2015-09-12,22,36,58,56.5,-1.5
2015-09-12,34,32,66,64.5,-1.5
2015-09-12,34,26,60,56.0,-4
2015-09-12,40,21,61,72.0,11
2015-09-12,21,19,40,52.0,12
2015-09-12,16,37,53,58.0,5
2015-09-12,24,35,59,57.0,-2
2015-09-12,37,3,40,64.0,24
2015-09-12,7,31,38,46.5,8.5
2015-09-17,20,17,37,53.5,16.5
2015-09-18,14,0,14,47.5,33.5
2015-09-18,0,52,52,60.5,8.5
2015-09-18,10,34,44,64.0,20
2015-09-19,17,35,52,51.0,-1
2015-09-19,7,28,35,48.0,13
2015-09-19,21,35,56,54.0,-2
2015-09-19,7,10,17,46.5,29.5
2015-09-19,33,15,48,63.5,15.5
2015-09-19,27,44,71,65.0,-6
2015-09-19,14,48,62,64.0,2
2015-09-19,6,9,15,41.0,26
2015-09-19,17,14,31,50.0,19
2015-09-19,38,52,90,71.5,-18.5
2015-09-19,27,30,57,44.5,-12.5
2015-09-19,19,10,29,48.5,19.5
2015-09-19,28,61,89,72.5,-16.5
2015-09-19,38,24,62,55.0,-7
2015-09-19,25,23,48,55.0,7
2015-09-19,28,17,45,63.0,18
2015-09-19,44,41,85,78.5,-6.5
2015-09-19,33,39,72,50.0,-22
